PWM (us),Power (W)
1100,388.8
1104,388.8
1108,380.5
1112,372.0
1116,362.2
1120,353.1
1124,343.4
1128,335.7
1132,327.0
1136,318.4
1140,309.1
1144,299.8
1148,289.8
1152,280.5
1156,272.0
1160,263.2
1164,255.4
1168,247.7
1172,239.7
1176,230.9
1180,224.6
1184,216.8
1188,209.6
1192,203.8
1196,196.8
1200,190.9
1204,185.4
1208,179.2
1212,172.8
1216,168.0
1220,164.3
1224,158.4
1228,152.0
1232,147.2
1236,142.4
1240,137.6
1244,131.2
1248,126.4
1252,121.1
1256,115.0
1260,110.2
1264,104.5
1268,100.6
1272,96.0
1276,92.0
1280,88.0
1284,84.8
1288,80.0
1292,76.8
1296,73.6
1300,70.4
1304,67.2
1308,63.7
1312,59.2
1316,57.3
1320,54.2
1324,51.2
1328,48.0
1332,45.4
1336,43.2
1340,38.4
1344,36.8
1348,33.6
1352,32.0
1356,30.4
1360,27.2
1364,25.6
1368,24.0
1372,22.4
1376,20.8
1380,19.2
1384,17.6
1388,16.0
1392,14.4
1396,12.8
1400,11.2
1404,10.6
1408,9.0
1412,8.0
1416,6.4
1420,6.4
1424,5.9
1428,4.8
1432,3.2
1436,3.2
1440,3.2
1444,1.6
1448,1.6
1452,1.6
1456,0.8
1460,0.8
1464,0.8
1468,0.8
1472,0.0
1476,0.0
1480,0.0
1484,0.0
1488,0.0
1492,0.0
1496,0.0
1500,0.0
1504,0.0
1508,0.0
1512,0.0
1516,0.0
1520,0.0
1524,0.0
1528,0.0
1532,0.8
1536,0.8
1540,0.8
1544,0.8
1548,1.6
1552,1.6
1556,1.6
1560,3.2
1564,3.2
1568,3.2
1572,4.8
1576,6.4
1580,6.4
1584,8.0
1588,8.0
1592,9.6
1596,11.2
1600,12.8
1604,12.8
1608,14.4
1612,16.0
1616,17.6
1620,19.2
1624,20.8
1628,23.2
1632,24.0
1636,25.6
1640,28.8
1644,32.0
1648,33.6
1652,35.2
1656,38.4
1660,41.6
1664,44.8
1668,46.4
1672,49.6
1676,52.8
1680,56.0
1684,59.2
1688,62.4
1692,65.6
1696,68.8
1700,73.3
1704,75.2
1708,80.0
1712,83.2
1716,86.7
1720,91.0
1724,94.4
1728,99.0
1732,102.4
1736,107.2
1740,112.0
1744,118.4
1748,123.2
1752,128.6
1756,134.4
1760,139.2
1764,144.5
1768,149.4
1772,155.0
1776,160.2
1780,166.4
1784,170.9
1788,174.4
1792,180.8
1796,186.2
1800,190.9
1804,198.1
1808,204.6
1812,210.2
1816,216.6
1820,223.8
1824,231.4
1828,237.8
1832,246.4
1836,253.8
1840,262.6
1844,271.5
1848,278.7
1852,288.0
1856,296.0
1860,306.1
1864,313.4
1868,322.4
1872,330.7
1876,338.1
1880,348.8
1884,358.1
1888,365.0
1892,372.5
1896,382.4
1900,381.3
